"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #90","2019-11-23T19:33:00Z","red","2602A","1717B","None","None","56","785A","2602E","None","None","2"
"Qualifier #91","2019-11-23T19:36:00Z","blue","81118P","8568G","None","None","12","2602D","63857E","None","None","14"
"Qualifier #92","2019-11-23T19:39:00Z","red","1784W","1784X","None","None","15","2621A","2602F","None","None","4"
"Qualifier #93","2019-11-23T19:42:00Z","blue","99928B","9228A","None","None","8","2602H","8568F","None","None","15"
"R16 #2-1","N/A","blue","1784W","81118P","None","None","14","1717B","785B","None","None","30"
"R16 #4-1","N/A","red","1784X","1784Z","None","None","29","2602G","8025A","None","None","14"
"R16 #6-1","N/A","red","2602A","63857D","None","None","24","785E","4716D","None","None","12"
"R16 #8-1","N/A","blue","3379A","785A","None","None","9","8568X","1898A","None","None","65"
"QF #1-1","N/A","blue","63857A","1898M","None","None","39","1717B","785B","None","None","41"
"QF #2-1","N/A","red","4478D","1898R","None","None","52","1784X","1784Z","None","None","20"
"QF #3-1","N/A","blue","9228C","16738B","None","None","26","2602A","63857D","None","None","44"
"QF #4-1","N/A","blue","785Z","9228B","None","None","14","8568X","1898A","None","None","60"
"SF #1-1","N/A","blue","1717B","785B","None","None","45","4478D","1898R","None","None","66"
"SF #2-1","N/A","red","2602A","63857D","None","None","32","8568X","1898A","None","None","31"
"Final #1-1","N/A","red","4478D","1898R","None","None","52","2602A","63857D","None","None","22"
