"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #74","2019-12-07T17:08:35Z","red","5150E","8878D","None","None","47","5150G","17814Z","None","None","40"
"Qualifier #75","2019-12-07T17:11:10Z","red","4478Z","195D","None","None","26","9909D","8878C","None","None","9"
"Qualifier #76","2019-12-07T17:13:45Z","blue","8079C","1697B","None","None","3","8079M","4478R","None","None","31"
"Qualifier #77","2019-12-07T17:16:20Z","blue","5150H","1618A","None","None","11","17814F","9909C","None","None","23"
"Qualifier #78","2019-12-07T17:18:55Z","blue","8878F","12345A","None","None","10","4478B","4478V","None","None","14"
"Qualifier #79","2019-12-07T17:21:30Z","tie","39545B","17814Y","None","None","6","17814B","1188B","None","None","6"
"Qualifier #80","2019-12-07T17:24:05Z","red","9909B","3157N","None","None","22","877Z","9909F","None","None","9"
"Qualifier #81","2019-12-07T17:26:40Z","red","195A","5150J","None","None","48","8079A","195B","None","None","15"
"Qualifier #82","2019-12-07T17:29:15Z","red","17814X","5150D","None","None","20","8079R","162A","None","None","6"
"Qualifier #83","2019-12-07T17:31:50Z","red","41364A","5150E","None","None","43","17814D","18891B","None","None","9"
"Qualifier #84","2019-12-07T17:34:25Z","blue","17814C","902C","None","None","3","877J","8878C","None","None","18"
"Qualifier #85","2019-12-07T17:37:00Z","red","8878A","902E","None","None","12","50239B","195D","None","None","6"
"Qualifier #86","2019-12-07T17:39:35Z","red","1697A","8878G","None","None","9","1695A","3157A","None","None","4"
"Qualifier #87","2019-12-07T17:42:10Z","red","4478C","4478D","None","None","28","8878E","4478F","None","None","3"
"Qualifier #88","2019-12-07T17:44:45Z","red","1695C","17814E","None","None","8","195E","1695D","None","None","5"
"Qualifier #89","2019-12-07T17:47:20Z","blue","5150F","902B","None","None","3","50239A","39545A","None","None","11"
"Qualifier #90","2019-12-07T17:49:55Z","blue","9909A","877H","None","None","7","195C","1188A","None","None","12"
"Qualifier #91","2019-12-07T17:52:30Z","red","17814Z","18891A","None","None","12","17814W","4478A","None","None","2"
"Qualifier #92","2019-12-07T17:55:05Z","red","5150K","5150G","None","None","25","8878B","4478Z","None","None","3"
"Qualifier #93","2019-12-07T17:57:40Z","blue","902D","17814V","None","None","4","902X","1695B","None","None","20"
"Qualifier #94","2019-12-07T18:00:15Z","tie","9909D","17814A","None","None","6","8878D","17814X","None","None","6"
"Qualifier #95","2019-12-07T18:02:50Z","red","195B","8878F","None","None","12","902C","9909B","None","None","6"
"Qualifier #96","2019-12-07T18:05:25Z","blue","1618A","17814D","None","None","2","877Z","4478D","None","None","63"
"Qualifier #97","2019-12-07T18:08:00Z","blue","1695A","8079C","None","None","7","195A","5150H","None","None","12"
"Qualifier #98","2019-12-07T18:10:35Z","blue","195D","1188B","None","None","12","5150E","5150J","None","None","34"
"Qualifier #99","2019-12-07T18:13:10Z","blue","17814C","877H","None","None","6","8878E","4478B","None","None","14"
"Qualifier #100","2019-12-07T18:15:45Z","red","39545B","41364A","None","None","21","17814E","5150F","None","None","11"
"Qualifier #101","2019-12-07T18:18:20Z","blue","4478A","18891B","None","None","3","5150K","1697A","None","None","9"
"Qualifier #102","2019-12-07T18:20:55Z","blue","8079M","8878C","None","None","9","1695D","902B","None","None","15"
"Qualifier #103","2019-12-07T18:23:30Z","blue","18891A","9909D","None","None","5","5150D","39545A","None","None","11"
"Qualifier #104","2019-12-07T18:26:05Z","red","50239B","4478V","None","None","25","17814A","17814B","None","None","3"
"Qualifier #105","2019-12-07T18:28:40Z","red","8878G","4478R","None","None","12","17814W","902X","None","None","6"
"Qualifier #106","2019-12-07T18:31:15Z","red","17814Z","50239A","None","None","16","8878A","17814V","None","None","1"
"Qualifier #107","2019-12-07T18:33:50Z","blue","3157A","8878B","None","None","14","9909F","9909A","None","None","16"
"Qualifier #108","2019-12-07T18:36:25Z","red","877J","195E","None","None","15","8079R","1697B","None","None","1"
"Qualifier #109","2019-12-07T18:39:00Z","red","4478Z","1695B","None","None","11","17814F","8878D","None","None","2"
"Qualifier #110","2019-12-07T18:41:35Z","blue","195C","9909C","None","None","12","4478F","5150G","None","None","16"
"Qualifier #111","2019-12-07T18:44:10Z","blue","4478C","902D","None","None","10","3157N","17814Y","None","None","13"
"Qualifier #112","2019-12-07T18:46:45Z","red","12345A","1188A","None","None","11","1695C","162A","None","None","5"
"Qualifier #113","2019-12-07T18:49:20Z","red","8079A","902E","None","None","12","8878E","5150F","None","None","10"
"R16 #1-1","N/A","red","1695B","4478Z","None","None","30","3157N","8079M","None","None","16"
"R16 #2-1","N/A","red","902E","8079A","None","None","33","5150D","5150F","None","None","7"
"R16 #3-1","N/A","red","5150E","5150G","None","None","35","195D","195E","None","None","10"
"R16 #4-1","N/A","red","41364A","4478V","None","None","22","9909B","50239A","None","None","17"
"R16 #5-1","N/A","blue","877J","162A","None","None","15","4478F","5150H","None","None","17"
"R16 #6-1","N/A","red","195A","3157A","None","None","35","1188A","1695C","None","None","8"
"R16 #7-1","N/A","red","5150J","4478D","None","None","104","1697A","17814Y","None","None","2"
"R16 #8-1","N/A","red","4478R","4478B","None","None","13","8878G","8878A","None","None","12"
"QF #1-1","N/A","tie","1695B","4478Z","None","None","13","902E","8079A","None","None","13"
"QF #2-1","N/A","blue","5150E","5150G","None","None","28","41364A","4478V","None","None","51"
"QF #1-2","N/A","red","1695B","4478Z","None","None","2","902E","8079A","None","None","0"
"QF #4-1","N/A","red","5150J","4478D","None","None","28","4478R","4478B","None","None","4"
"QF #3-1","N/A","blue","4478F","5150H","None","None","12","195A","3157A","None","None","24"
"SF #1-1","N/A","blue","1695B","4478Z","None","None","19","41364A","4478V","None","None","54"
"SF #2-1","N/A","blue","195A","3157A","None","None","32","5150J","4478D","None","None","51"
"Final #1-1","N/A","blue","41364A","4478V","None","None","45","5150J","4478D","None","None","59"
